X,120:00:00:000,wm,in_type,irrigator,1
Y,135:00:00:000,irrigator,out_id,wm,6
X,135:00:00:000,wm,in_done,que_wm,6
Y,135:00:00:000,que_wm,out_field_3,wm,6
Y,135:00:00:000,wm,out_field_3,top,6
X,135:00:00:000,top,in_done,f3,6
Y,136:00:00:000,f1,out_water_field,top,1
Y,136:00:00:000,f1,out_water_surface,top,100
Y,136:00:00:000,f1,out_water_type,top,2
X,136:00:00:000,top,in_field,wm,1
X,136:00:00:000,top,in_surface,wm,100
X,136:00:00:000,top,in_type,wm,2
X,136:00:00:000,wm,in_field,que_wm,1
X,136:00:00:000,wm,in_surface,que_wm,100
X,136:00:00:000,wm,in_type,que_wm,2
Y,136:00:00:000,que_wm,out_id,wm,7
Y,136:00:00:000,que_wm,out_surface,wm,100
Y,136:00:00:000,que_wm,out_type,wm,2
X,136:00:00:000,wm,in_id,irrigator,7
X,136:00:00:000,wm,in_surface,irrigator,100
X,136:00:00:000,wm,in_type,irrigator,2
Y,141:00:00:000,irrigator,out_id,wm,7
X,141:00:00:000,wm,in_done,que_wm,7
Y,141:00:00:000,que_wm,out_field_1,wm,7
Y,141:00:00:000,wm,out_field_1,top,7
X,141:00:00:000,top,in_done,f1,7
Y,142:00:00:000,f2,out_water_field,top,2
Y,142:00:00:000,f2,out_water_surface,top,200
Y,142:00:00:000,f2,out_water_type,top,3
X,142:00:00:000,top,in_field,wm,2
X,142:00:00:000,top,in_surface,wm,200
X,142:00:00:000,top,in_type,wm,3
X,142:00:00:000,wm,in_field,que_wm,2
X,142:00:00:000,wm,in_surface,que_wm,200
X,142:00:00:000,wm,in_type,que_wm,3
Y,142:00:00:000,que_wm,out_id,wm,8
Y,142:00:00:000,que_wm,out_surface,wm,200
Y,142:00:00:000,que_wm,out_type,wm,3
X,142:00:00:000,wm,in_id,irrigator,8
X,142:00:00:000,wm,in_surface,irrigator,200
X,142:00:00:000,wm,in_type,irrigator,3
Y,152:00:00:000,irrigator,out_id,wm,8
X,152:00:00:000,wm,in_done,que_wm,8
Y,152:00:00:000,que_wm,out_field_2,wm,8
Y,152:00:00:000,wm,out_field_2,top,8
X,152:00:00:000,top,in_done,f2,8
Y,165:00:00:000,f1,out_water_field,top,1
Y,165:00:00:000,f1,out_water_surface,top,100
Y,165:00:00:000,f1,out_water_type,top,2
X,165:00:00:000,top,in_field,wm,1
X,165:00:00:000,top,in_surface,wm,100
X,165:00:00:000,top,in_type,wm,2
X,165:00:00:000,wm,in_field,que_wm,1
X,165:00:00:000,wm,in_surface,que_wm,100
X,165:00:00:000,wm,in_type,que_wm,2
Y,165:00:00:000,que_wm,out_id,wm,9
Y,165:00:00:000,que_wm,out_surface,wm,100
Y,165:00:00:000,que_wm,out_type,wm,2
X,165:00:00:000,wm,in_id,irrigator,9
X,165:00:00:000,wm,in_surface,irrigator,100
X,165:00:00:000,wm,in_type,irrigator,2
Y,170:00:00:000,irrigator,out_id,wm,9
X,170:00:00:000,wm,in_done,que_wm,9
